date,reflection,mood,energy,productivity,tags,date_parsed,raw_reflection,cleaned_reflection,tokens,word_count,character_count,sentence_count
2025-02-12,"Took a short trip to the countryside today, it was a nice change of scenery and really refreshing. Explored the countryside for the first time — such a great way to break the routine. Grateful for how the day turned out.",7,7,8,"adventure, travel",2025-02-12,"Took a short trip to the countryside today, it was a nice change of scenery and really refreshing. Explored the countryside for the first time — such a great way to break the routine. Grateful for how the day turned out.","took a short trip to the countryside today, it was a nice change of scenery and really refreshing. explored the countryside for the first time  such a great way to break the routine. grateful for how the day turned out.","['took', 'short', 'trip', 'countryside', 'nice', 'change', 'scenery', 'refreshing', 'explored', 'countryside', 'first', 'time', 'such', 'great', 'way', 'break', 'routine', 'grateful', 'how', 'day', 'turned']",41,220,3
2025-02-13,Missed a call from my parents and felt a bit guilty about not making more time for them lately. Need to get more rest tonight.,3,3,3,family,2025-02-13,Missed a call from my parents and felt a bit guilty about not making more time for them lately. Need to get more rest tonight.,missed a call from my parents and felt a bit guilty about not making more time for them lately. need to get more rest tonight.,"['missed', 'call', 'from', 'parents', 'bit', 'guilty', 'not', 'making', 'more', 'time', 'them', 'lately', 'need', 'get', 'more', 'rest', 'tonight']",25,126,2
2025-02-14,Did a bit of writing but got distracted halfway through. Thought about picking photography back up today but didn't get to it. Ready to see what tomorrow brings.,6,4,6,"reading, music",2025-02-14,Did a bit of writing but got distracted halfway through. Thought about picking photography back up today but didn't get to it. Ready to see what tomorrow brings.,did a bit of writing but got distracted halfway through. thought about picking photography back up today but didn't get to it. ready to see what tomorrow brings.,"['bit', 'writing', 'got', 'distracted', 'halfway', 'through', 'thought', 'picking', 'photography', ""didn't"", 'get', 'ready', 'see', 'what', 'tomorrow', 'brings']",28,161,3
2025-02-15,"Slept badly last night and it affected the whole day. Couldn't really relax today even though I had the time, mind was too restless.",3,3,3,"rest, sleep, weekend",2025-02-15,"Slept badly last night and it affected the whole day. Couldn't really relax today even though I had the time, mind was too restless.","slept badly last night and it affected the whole day. couldn't really relax today even though i had the time, mind was too restless.","['slept', 'badly', 'last', 'night', 'affected', 'whole', 'day', ""couldn't"", 'relax', 'even', 'though', 'time', 'mind', 'too', 'restless']",24,132,2
2025-02-18,"Did a light run session, nothing intense, just kept the habit going. Just an ordinary day overall.",7,6,6,"health, fitness",2025-02-18,"Did a light run session, nothing intense, just kept the habit going. Just an ordinary day overall.","did a light run session, nothing intense, just kept the habit going. just an ordinary day overall.","['light', 'run', 'session', 'nothing', 'intense', 'kept', 'habit', 'going', 'ordinary', 'day', 'overall']",17,98,2
2025-02-19,"Despite the upcoming assignment due date, I felt in control today and made good progress preparing for it.",7,5,6,"anxiety, exam",2025-02-19,"Despite the upcoming assignment due date, I felt in control today and made good progress preparing for it.","despite the upcoming assignment due date, i felt in control today and made good progress preparing for it.","['despite', 'upcoming', 'assignment', 'due', 'date', 'control', 'made', 'good', 'progress', 'preparing']",18,106,1
2025-02-20,Struggled a lot with hypothesis testing — statistics is starting to feel overwhelming.,5,4,5,learning,2025-02-20,Struggled a lot with hypothesis testing — statistics is starting to feel overwhelming.,struggled a lot with hypothesis testing  statistics is starting to feel overwhelming.,"['struggled', 'lot', 'hypothesis', 'testing', 'statistics', 'starting', 'overwhelming']",13,86,1
2025-02-22,Did a bit of playing guitar but got distracted halfway through. Ready to see what tomorrow brings.,5,6,4,"creativity, hobbies",2025-02-22,Did a bit of playing guitar but got distracted halfway through. Ready to see what tomorrow brings.,did a bit of playing guitar but got distracted halfway through. ready to see what tomorrow brings.,"['bit', 'playing', 'guitar', 'got', 'distracted', 'halfway', 'through', 'ready', 'see', 'what', 'tomorrow', 'brings']",17,98,2
2025-02-23,Had a lovely time with my sibling — we went for a long walk and it lifted my mood a lot. Ending the day in a good mood.,6,6,5,family,2025-02-23,Had a lovely time with my sibling — we went for a long walk and it lifted my mood a lot. Ending the day in a good mood.,had a lovely time with my sibling  we went for a long walk and it lifted my mood a lot. ending the day in a good mood.,"['lovely', 'time', 'sibling', 'we', 'went', 'long', 'walk', 'lifted', 'mood', 'lot', 'ending', 'day', 'good', 'mood']",28,119,2
2025-02-24,Wanted to spend time on writing today but couldn't find the motivation.,4,3,4,"hobbies, creativity, reading",2025-02-24,Wanted to spend time on writing today but couldn't find the motivation.,wanted to spend time on writing today but couldn't find the motivation.,"['wanted', 'spend', 'time', 'writing', ""couldn't"", 'find', 'motivation']",12,71,1
2025-02-26,"Fairly lazy day overall, mixed a bit of rest with a few small chores. Ready to see what tomorrow brings.",7,7,6,"relaxation, sleep",2025-02-26,"Fairly lazy day overall, mixed a bit of rest with a few small chores. Ready to see what tomorrow brings.","fairly lazy day overall, mixed a bit of rest with a few small chores. ready to see what tomorrow brings.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores', 'ready', 'see', 'what', 'tomorrow', 'brings']",20,104,2
2025-02-27,"Read through some notes on joins but didn't get much hands-on pandas practice done. Spent some time reviewing Python, mostly going over feature engineering again.",5,3,3,"learning, coding",2025-02-27,"Read through some notes on joins but didn't get much hands-on pandas practice done. Spent some time reviewing Python, mostly going over feature engineering again.","read through some notes on joins but didn't get much hands-on pandas practice done. spent some time reviewing python, mostly going over feature engineering again.","['read', 'through', 'notes', 'joins', ""didn't"", 'get', 'much', 'hands', 'pandas', 'practice', 'done', 'spent', 'time', 'reviewing', 'python', 'mostly', 'going', 'feature', 'engineering']",25,162,2
2025-02-28,"Barely got through any machine learning today, my focus on hypothesis testing kept slipping. Need to get more rest tonight.",2,4,2,coding,2025-02-28,"Barely got through any machine learning today, my focus on hypothesis testing kept slipping. Need to get more rest tonight.","barely got through any machine learning today, my focus on hypothesis testing kept slipping. need to get more rest tonight.","['barely', 'got', 'through', 'any', 'machine', 'learning', 'focus', 'hypothesis', 'testing', 'kept', 'slipping', 'need', 'get', 'more', 'rest', 'tonight']",20,123,2
2025-03-01,"Looked into travel options for a new part of the city, nothing booked yet. Thinking about planning a trip to the coast sometime soon, haven't decided yet. Ready to see what tomorrow brings.",6,5,5,"adventure, weekend",2025-03-01,"Looked into travel options for a new part of the city, nothing booked yet. Thinking about planning a trip to the coast sometime soon, haven't decided yet. Ready to see what tomorrow brings.","looked into travel options for a new part of the city, nothing booked yet. thinking about planning a trip to the coast sometime soon, haven't decided yet. ready to see what tomorrow brings.","['looked', 'into', 'travel', 'options', 'new', 'part', 'city', 'nothing', 'booked', 'yet', 'thinking', 'planning', 'trip', 'coast', 'sometime', 'soon', ""haven't"", 'decided', 'yet', 'ready', 'see', 'what', 'tomorrow', 'brings']",33,189,3
2025-03-02,"Couldn't really relax today even though I had the time, mind was too restless.",4,3,3,rest,2025-03-02,"Couldn't really relax today even though I had the time, mind was too restless.","couldn't really relax today even though i had the time, mind was too restless.","[""couldn't"", 'relax', 'even', 'though', 'time', 'mind', 'too', 'restless']",14,78,1
2025-03-03,"Managed to fit in a good run session, my energy levels were noticeably higher afterward.",5,7,7,"fitness, health",2025-03-03,"Managed to fit in a good run session, my energy levels were noticeably higher afterward.","managed to fit in a good run session, my energy levels were noticeably higher afterward.","['managed', 'fit', 'good', 'run', 'session', 'energy', 'levels', 'noticeably', 'higher', 'afterward']",15,88,1
2025-03-04,"Did a light swim session, nothing intense, just kept the habit going. Just an ordinary day overall.",3,5,4,"fitness, health",2025-03-04,"Did a light swim session, nothing intense, just kept the habit going. Just an ordinary day overall.","did a light swim session, nothing intense, just kept the habit going. just an ordinary day overall.","['light', 'swim', 'session', 'nothing', 'intense', 'kept', 'habit', 'going', 'ordinary', 'day', 'overall']",17,99,2
2025-03-05,"Looked into travel options for the coast, nothing booked yet.",6,8,6,"travel, weekend",2025-03-05,"Looked into travel options for the coast, nothing booked yet.","looked into travel options for the coast, nothing booked yet.","['looked', 'into', 'travel', 'options', 'coast', 'nothing', 'booked', 'yet']",10,61,1
2025-03-06,Rough day at work — a few pending tickets kept getting delayed and I felt behind the whole time.,4,4,6,work,2025-03-06,Rough day at work — a few pending tickets kept getting delayed and I felt behind the whole time.,rough day at work  a few pending tickets kept getting delayed and i felt behind the whole time.,"['rough', 'day', 'work', 'few', 'pending', 'tickets', 'kept', 'getting', 'delayed', 'behind', 'whole', 'time']",19,96,1
2025-03-07,I made real progress on pandas today — hypothesis testing finally clicked after struggling with it for a while.,7,9,5,"coding, learning, study",2025-03-07,I made real progress on pandas today — hypothesis testing finally clicked after struggling with it for a while.,i made real progress on pandas today  hypothesis testing finally clicked after struggling with it for a while.,"['made', 'real', 'progress', 'pandas', 'hypothesis', 'testing', 'finally', 'clicked', 'after', 'struggling', 'while']",19,111,1
2025-03-09,"Fairly lazy day overall, mixed a bit of rest with a few small chores.",4,5,3,"sleep, rest",2025-03-09,"Fairly lazy day overall, mixed a bit of rest with a few small chores.","fairly lazy day overall, mixed a bit of rest with a few small chores.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores']",14,69,1
2025-03-11,"Fairly lazy day overall, mixed a bit of rest with a few small chores. Nothing particularly stands out about today.",6,5,5,weekend,2025-03-11,"Fairly lazy day overall, mixed a bit of rest with a few small chores. Nothing particularly stands out about today.","fairly lazy day overall, mixed a bit of rest with a few small chores. nothing particularly stands out about today.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores', 'nothing', 'stands']",20,114,2
2025-03-12,"Fairly lazy day overall, mixed a bit of rest with a few small chores.",7,9,10,"relaxation, rest",2025-03-12,"Fairly lazy day overall, mixed a bit of rest with a few small chores.","fairly lazy day overall, mixed a bit of rest with a few small chores.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores']",14,69,1
2025-03-13,"Did a bit of pandas practice today, nothing major, just consolidating correlation vs causation. Read through some notes on joins but didn't get much hands-on machine learning practice done. Just an ordinary day overall.",5,3,7,"learning, study, coding",2025-03-13,"Did a bit of pandas practice today, nothing major, just consolidating correlation vs causation. Read through some notes on joins but didn't get much hands-on machine learning practice done. Just an ordinary day overall.","did a bit of pandas practice today, nothing major, just consolidating correlation vs causation. read through some notes on joins but didn't get much hands-on machine learning practice done. just an ordinary day overall.","['bit', 'pandas', 'practice', 'nothing', 'major', 'consolidating', 'correlation', 'vs', 'causation', 'read', 'through', 'notes', 'joins', ""didn't"", 'get', 'much', 'hands', 'machine', 'learning', 'practice', 'done', 'ordinary', 'day', 'overall']",34,219,3
2025-03-14,Slept badly last night and it affected the whole day.,4,4,4,"relaxation, rest",2025-03-14,Slept badly last night and it affected the whole day.,slept badly last night and it affected the whole day.,"['slept', 'badly', 'last', 'night', 'affected', 'whole', 'day']",10,53,1
2025-03-15,Went for a yoga session this morning and felt really energized for the rest of the day. Ending the day in a good mood.,8,7,5,"fitness, health, wellbeing",2025-03-15,Went for a yoga session this morning and felt really energized for the rest of the day. Ending the day in a good mood.,went for a yoga session this morning and felt really energized for the rest of the day. ending the day in a good mood.,"['went', 'yoga', 'session', 'morning', 'energized', 'rest', 'day', 'ending', 'day', 'good', 'mood']",24,118,2
2025-03-16,Missed a call from my family and felt a bit guilty about not making more time for them lately. Had a small disagreement with my sibling today which put a bit of a damper on the day. Today was harder than expected.,3,3,5,"family, friends, relationships",2025-03-16,Missed a call from my family and felt a bit guilty about not making more time for them lately. Had a small disagreement with my sibling today which put a bit of a damper on the day. Today was harder than expected.,missed a call from my family and felt a bit guilty about not making more time for them lately. had a small disagreement with my sibling today which put a bit of a damper on the day. today was harder than expected.,"['missed', 'call', 'from', 'family', 'bit', 'guilty', 'not', 'making', 'more', 'time', 'them', 'lately', 'small', 'disagreement', 'sibling', 'which', 'put', 'bit', 'damper', 'day', 'harder', 'than', 'expected']",42,213,3
2025-03-17,"Thinking about the job interview a lot today but haven't really started preparing yet. A fairly typical day, all things considered.",6,5,4,"stress, deadline",2025-03-17,"Thinking about the job interview a lot today but haven't really started preparing yet. A fairly typical day, all things considered.","thinking about the job interview a lot today but haven't really started preparing yet. a fairly typical day, all things considered.","['thinking', 'job', 'interview', 'lot', ""haven't"", 'started', 'preparing', 'yet', 'fairly', 'typical', 'day', 'all', 'things', 'considered']",21,131,2
2025-03-18,"Woke up tired and skipped walk entirely, energy was low all day. Didn't get any yoga session in today and felt sluggish because of it.",3,7,3,"wellbeing, fitness",2025-03-18,"Woke up tired and skipped walk entirely, energy was low all day. Didn't get any yoga session in today and felt sluggish because of it.","woke up tired and skipped walk entirely, energy was low all day. didn't get any yoga session in today and felt sluggish because of it.","['woke', 'tired', 'skipped', 'walk', 'entirely', 'energy', 'low', 'all', 'day', ""didn't"", 'get', 'any', 'yoga', 'session', 'sluggish', 'because']",25,134,2
2025-03-19,Managed my anxiety about the presentation well today by breaking the work into smaller pieces.,6,8,7,deadline,2025-03-19,Managed my anxiety about the presentation well today by breaking the work into smaller pieces.,managed my anxiety about the presentation well today by breaking the work into smaller pieces.,"['managed', 'anxiety', 'presentation', 'well', 'by', 'breaking', 'work', 'into', 'smaller', 'pieces']",15,94,1
2025-03-20,"Quiet day, spoke with a close friend for a bit over the phone. Saw a close friend briefly today, exchanged a few messages, nothing major.",5,5,6,"friends, weekend, family",2025-03-20,"Quiet day, spoke with a close friend for a bit over the phone. Saw a close friend briefly today, exchanged a few messages, nothing major.","quiet day, spoke with a close friend for a bit over the phone. saw a close friend briefly today, exchanged a few messages, nothing major.","['quiet', 'day', 'spoke', 'close', 'friend', 'bit', 'phone', 'saw', 'close', 'friend', 'briefly', 'exchanged', 'few', 'messages', 'nothing', 'major']",25,137,2
2025-03-21,"The project deadline is coming up soon, feeling a mix of nervous and okay about it. Thinking about the job interview a lot today but haven't really started preparing yet. Nothing particularly stands out about today.",3,3,5,"stress, anxiety",2025-03-21,"The project deadline is coming up soon, feeling a mix of nervous and okay about it. Thinking about the job interview a lot today but haven't really started preparing yet. Nothing particularly stands out about today.","the project deadline is coming up soon, feeling a mix of nervous and okay about it. thinking about the job interview a lot today but haven't really started preparing yet. nothing particularly stands out about today.","['project', 'deadline', 'coming', 'soon', 'feeling', 'mix', 'nervous', 'okay', 'thinking', 'job', 'interview', 'lot', ""haven't"", 'started', 'preparing', 'yet', 'nothing', 'stands']",36,215,3
2025-03-22,"Managed to fit in a good walk session, my energy levels were noticeably higher afterward.",9,8,8,"wellbeing, exercise",2025-03-22,"Managed to fit in a good walk session, my energy levels were noticeably higher afterward.","managed to fit in a good walk session, my energy levels were noticeably higher afterward.","['managed', 'fit', 'good', 'walk', 'session', 'energy', 'levels', 'noticeably', 'higher', 'afterward']",15,89,1
2025-03-23,"Had a really productive day at work — cleared most of my a few pending tickets and even helped a coworker with theirs. Good day overall, made solid progress on a backlog of emails and the team meeting went smoothly. Ending the day in a good mood.",9,8,9,"work, productivity, meetings",2025-03-23,"Had a really productive day at work — cleared most of my a few pending tickets and even helped a coworker with theirs. Good day overall, made solid progress on a backlog of emails and the team meeting went smoothly. Ending the day in a good mood.","had a really productive day at work  cleared most of my a few pending tickets and even helped a coworker with theirs. good day overall, made solid progress on a backlog of emails and the team meeting went smoothly. ending the day in a good mood.","['productive', 'day', 'work', 'cleared', 'most', 'few', 'pending', 'tickets', 'even', 'helped', 'coworker', 'theirs', 'good', 'day', 'overall', 'made', 'solid', 'progress', 'backlog', 'emails', 'team', 'meeting', 'went', 'smoothly', 'ending', 'day', 'good', 'mood']",47,246,3
2025-03-24,"Had a productive study session on pandas, especially around overfitting.",8,7,5,"study, coding",2025-03-24,"Had a productive study session on pandas, especially around overfitting.","had a productive study session on pandas, especially around overfitting.","['productive', 'study', 'session', 'pandas', 'especially', 'around', 'overfitting']",10,72,1
2025-03-25,"Woke up tired and skipped walk entirely, energy was low all day. Need to get more rest tonight.",5,6,3,"wellbeing, fitness",2025-03-25,"Woke up tired and skipped walk entirely, energy was low all day. Need to get more rest tonight.","woke up tired and skipped walk entirely, energy was low all day. need to get more rest tonight.","['woke', 'tired', 'skipped', 'walk', 'entirely', 'energy', 'low', 'all', 'day', 'need', 'get', 'more', 'rest', 'tonight']",18,95,2
2025-03-26,"Quiet day, spoke with my parents for a bit over the phone. Saw my parents briefly today, exchanged a few messages, nothing major. Just an ordinary day overall.",6,3,4,"friends, family",2025-03-26,"Quiet day, spoke with my parents for a bit over the phone. Saw my parents briefly today, exchanged a few messages, nothing major. Just an ordinary day overall.","quiet day, spoke with my parents for a bit over the phone. saw my parents briefly today, exchanged a few messages, nothing major. just an ordinary day overall.","['quiet', 'day', 'spoke', 'parents', 'bit', 'phone', 'saw', 'parents', 'briefly', 'exchanged', 'few', 'messages', 'nothing', 'major', 'ordinary', 'day', 'overall']",28,159,3
2025-03-27,"Spent some time reviewing statistics, mostly going over hypothesis testing again. Ready to see what tomorrow brings.",6,6,6,"learning, python, study",2025-03-27,"Spent some time reviewing statistics, mostly going over hypothesis testing again. Ready to see what tomorrow brings.","spent some time reviewing statistics, mostly going over hypothesis testing again. ready to see what tomorrow brings.","['spent', 'time', 'reviewing', 'statistics', 'mostly', 'going', 'hypothesis', 'testing', 'ready', 'see', 'what', 'tomorrow', 'brings']",17,116,2
2025-03-28,"Thinking about planning a trip to a local market sometime soon, haven't decided yet. Looked into travel options for the nearby hill station, nothing booked yet.",8,6,7,"weekend, adventure",2025-03-28,"Thinking about planning a trip to a local market sometime soon, haven't decided yet. Looked into travel options for the nearby hill station, nothing booked yet.","thinking about planning a trip to a local market sometime soon, haven't decided yet. looked into travel options for the nearby hill station, nothing booked yet.","['thinking', 'planning', 'trip', 'local', 'market', 'sometime', 'soon', ""haven't"", 'decided', 'yet', 'looked', 'into', 'travel', 'options', 'nearby', 'hill', 'station', 'nothing', 'booked', 'yet']",26,160,2
2025-03-29,Wanted to spend time on writing today but couldn't find the motivation. Trying not to be too hard on myself about it.,3,2,1,"hobbies, reading, music",2025-03-29,Wanted to spend time on writing today but couldn't find the motivation. Trying not to be too hard on myself about it.,wanted to spend time on writing today but couldn't find the motivation. trying not to be too hard on myself about it.,"['wanted', 'spend', 'time', 'writing', ""couldn't"", 'find', 'motivation', 'trying', 'not', 'too', 'hard', 'myself']",22,117,2
2025-03-30,Wanted to spend time on writing today but couldn't find the motivation.,4,5,2,creativity,2025-03-30,Wanted to spend time on writing today but couldn't find the motivation.,wanted to spend time on writing today but couldn't find the motivation.,"['wanted', 'spend', 'time', 'writing', ""couldn't"", 'find', 'motivation']",12,71,1
2025-03-31,"The project deadline is coming up soon, feeling a mix of nervous and okay about it.",5,5,7,"stress, exam",2025-03-31,"The project deadline is coming up soon, feeling a mix of nervous and okay about it.","the project deadline is coming up soon, feeling a mix of nervous and okay about it.","['project', 'deadline', 'coming', 'soon', 'feeling', 'mix', 'nervous', 'okay']",16,83,1
2025-04-01,"Spent most of the day on a few pending tickets, nothing particularly noteworthy happened. Ready to see what tomorrow brings.",8,6,6,"work, career",2025-04-01,"Spent most of the day on a few pending tickets, nothing particularly noteworthy happened. Ready to see what tomorrow brings.","spent most of the day on a few pending tickets, nothing particularly noteworthy happened. ready to see what tomorrow brings.","['spent', 'most', 'day', 'few', 'pending', 'tickets', 'nothing', 'noteworthy', 'happened', 'ready', 'see', 'what', 'tomorrow', 'brings']",20,124,2
2025-04-03,"Fairly lazy day overall, mixed a bit of rest with a few small chores.",6,5,4,rest,2025-04-03,"Fairly lazy day overall, mixed a bit of rest with a few small chores.","fairly lazy day overall, mixed a bit of rest with a few small chores.","['fairly', 'lazy', 'day', 'overall', 'mixed', 'bit', 'rest', 'few', 'small', 'chores']",14,69,1
2025-04-04,"Fairly average day at work, mostly just handled a backlog of emails without much excitement. Just an ordinary day overall.",6,9,8,"meetings, productivity",2025-04-04,"Fairly average day at work, mostly just handled a backlog of emails without much excitement. Just an ordinary day overall.","fairly average day at work, mostly just handled a backlog of emails without much excitement. just an ordinary day overall.","['fairly', 'average', 'day', 'work', 'mostly', 'handled', 'backlog', 'emails', 'without', 'much', 'excitement', 'ordinary', 'day', 'overall']",20,122,2
2025-04-05,"Did a light yoga session session, nothing intense, just kept the habit going. Skipped my usual run today but ate reasonably well.",4,3,3,"wellbeing, exercise",2025-04-05,"Did a light yoga session session, nothing intense, just kept the habit going. Skipped my usual run today but ate reasonably well.","did a light yoga session session, nothing intense, just kept the habit going. skipped my usual run today but ate reasonably well.","['light', 'yoga', 'session', 'session', 'nothing', 'intense', 'kept', 'habit', 'going', 'skipped', 'usual', 'run', 'ate', 'reasonably', 'well']",22,129,2
2025-04-06,"Saw my parents briefly today, exchanged a few messages, nothing major. Quiet day, spoke with my sibling for a bit over the phone.",8,5,5,weekend,2025-04-06,"Saw my parents briefly today, exchanged a few messages, nothing major. Quiet day, spoke with my sibling for a bit over the phone.","saw my parents briefly today, exchanged a few messages, nothing major. quiet day, spoke with my sibling for a bit over the phone.","['saw', 'parents', 'briefly', 'exchanged', 'few', 'messages', 'nothing', 'major', 'quiet', 'day', 'spoke', 'sibling', 'bit', 'phone']",23,129,2
2025-04-07,Anxiety about the job interview made it hard to get anything meaningful done today. Trying not to be too hard on myself about it.,2,1,2,"stress, exam, deadline",2025-04-07,Anxiety about the job interview made it hard to get anything meaningful done today. Trying not to be too hard on myself about it.,anxiety about the job interview made it hard to get anything meaningful done today. trying not to be too hard on myself about it.,"['anxiety', 'job', 'interview', 'made', 'hard', 'get', 'anything', 'meaningful', 'done', 'trying', 'not', 'too', 'hard', 'myself']",24,129,2
2025-04-08,Wanted to spend time on writing today but couldn't find the motivation. Today was harder than expected.,3,1,2,"creativity, reading, music",2025-04-08,Wanted to spend time on writing today but couldn't find the motivation. Today was harder than expected.,wanted to spend time on writing today but couldn't find the motivation. today was harder than expected.,"['wanted', 'spend', 'time', 'writing', ""couldn't"", 'find', 'motivation', 'harder', 'than', 'expected']",17,103,2
2025-04-09,"Finished a few pending tickets ahead of schedule today, which felt great going into the weekend. Looking forward to more days like this.",7,7,10,"productivity, work, career",2025-04-09,"Finished a few pending tickets ahead of schedule today, which felt great going into the weekend. Looking forward to more days like this.","finished a few pending tickets ahead of schedule today, which felt great going into the weekend. looking forward to more days like this.","['finished', 'few', 'pending', 'tickets', 'ahead', 'schedule', 'which', 'great', 'going', 'into', 'weekend', 'looking', 'forward', 'more', 'days', 'like']",23,136,2
